#
# S町の1Rマンションの賃貸情報
#
# 家賃(万円), 駅からの徒歩時間 (分), 専有面積 (m*m), 築年数 (年), 階数, 向き [ N / NE / E / SE / S / SW / W / NW ]
#
7.2, 4, 16, 5, 2, S
7.2, 4, 16, 5, 2, S
4.85, 7, 15, 24, 9, SE
6.6, 5, 22.26, 22, 5, SE
9, 10, 30.03, 0, 1, SE
9, 10, 30.03, 0, 1, SE
9, 10, 30.03, 0, 1, SE
9, 10, 30.03, 0, 1, SE
9, 10, 30.03, 0, 1, SE
8.3, 9, 32.18, 24, 3, S
7.8, 10, 21.02, 5, 4, W
6.8, 25, 25.33, 23, 3, SE
9.1, 10, 30.03, 0, 3, SE
9.1, 10, 30.03, 0, 3, SE
7.5, 10, 21.02, 5, 4, SW
8.3, 9, 32.18, 24, 3, E
10.3, 3, 36.94, 11, 7, SE
4.3, 15, 16.25, 23, 1, SW
25, 15, 74.96, 10, 15, E
4.6, 17, 16.32, 18, 4, SE
4.2, 15, 16.94, 26, 4, SW
6.5, 5, 22.83, 25, 4, NE
5.9, 8, 21.56, 23, 4, SW
